task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
28,28,optdigits,8.0,Multiclass,5620,64,10,1.032490974729242,0.9822064056939501,0.9822743922743923,0.9822064056939501,0.9826154604968164,0.982204433497537,0.9997681720804786,0.05846888599154906,0.4290275555104017,1.4276353791356087,5058.0,562.0,42,32.0,,10,
28,28,optdigits,9.0,Multiclass,5620,64,10,1.032490974729242,0.9875444839857651,0.9875410629392931,0.9875444839857651,0.9879186602870813,0.9874999999999998,0.9999752964426877,0.03643151585329823,0.441119909286499,1.426025401800871,5058.0,562.0,42,32.0,,10,
29,29,credit-approval,0.0,Binary,690,15,2,1.247557003257329,0.927536231884058,0.9259815490238146,0.927536231884058,0.9280172413793104,0.9243589743589744,0.9205128205128204,0.3605163423000296,0.2562730424106121,0.09184272028505802,621.0,69.0,42,32.0,,10,
29,29,credit-approval,1.0,Binary,690,15,2,1.247557003257329,0.8985507246376812,0.8971684053651267,0.8985507246376812,0.8960101867572157,0.8987179487179487,0.935042735042735,0.320451010110257,0.25920568965375423,0.09177333675324917,621.0,69.0,42,32.0,,10,
29,29,credit-approval,2.0,Binary,690,15,2,1.247557003257329,0.8695652173913043,0.8677879497551628,0.8695652173913043,0.866723259762309,0.8692307692307693,0.947008547008547,0.29495749770335006,0.2567584365606308,0.09198522940278053,621.0,69.0,42,32.0,,10,
29,29,credit-approval,3.0,Binary,690,15,2,1.247557003257329,0.8115942028985508,0.8101587301587301,0.8115942028985508,0.8095439189189189,0.8111205432937181,0.8870967741935484,0.46888547814735854,0.2596863340586424,0.09188981726765633,621.0,69.0,42,32.0,,10,
29,29,credit-approval,4.0,Binary,690,15,2,1.247557003257329,0.9420289855072463,0.9414261460101867,0.9420289855072463,0.9414261460101867,0.9414261460101867,0.9677419354838709,0.24294556987109642,0.25618453323841095,0.09177430532872677,621.0,69.0,42,32.0,,10,
29,29,credit-approval,5.0,Binary,690,15,2,1.247557003257329,0.927536231884058,0.9265488609750905,0.927536231884058,0.9282051282051282,0.9252971137521222,0.9677419354838709,0.2483721177569573,0.25436877459287643,0.0961062852293253,621.0,69.0,42,32.0,,10,
29,29,credit-approval,6.0,Binary,690,15,2,1.247557003257329,0.855072463768116,0.8525641025641026,0.855072463768116,0.8560344827586206,0.8505942275042444,0.9303904923599321,0.3266464756164519,0.2480041328817606,0.09217975661158562,621.0,69.0,42,32.0,,10,
29,29,credit-approval,7.0,Binary,690,15,2,1.247557003257329,0.8405797101449275,0.8400421496311907,0.8405797101449275,0.8399159663865545,0.8433786078098472,0.8718166383701188,0.4875511328871541,0.24774890393018723,0.09231127239763737,621.0,69.0,42,32.0,,10,
29,29,credit-approval,8.0,Binary,690,15,2,1.247557003257329,0.927536231884058,0.926984126984127,0.927536231884058,0.926097972972973,0.9282682512733447,0.9592529711375212,0.25936893919675025,0.2518838830292225,0.09172297827899456,621.0,69.0,42,32.0,,10,
29,29,credit-approval,9.0,Binary,690,15,2,1.247557003257329,0.8840579710144928,0.8828522920203735,0.8840579710144928,0.8828522920203735,0.8828522920203735,0.9414261460101868,0.2945869431523046,0.24911431595683098,0.09343642741441727,621.0,69.0,42,32.0,,10,
31,31,credit-g,0.0,Binary,1000,20,2,2.3333333333333335,0.74,0.6621621621621622,0.74,0.6864801864801865,0.6523809523809524,0.8480952380952381,0.4409761221152074,0.2587509285658598,0.1361986007541418,900.0,100.0,42,32.0,,10,
31,31,credit-g,1.0,Binary,1000,20,2,2.3333333333333335,0.74,0.6081977094635322,0.74,0.7083333333333333,0.6047619047619047,0.7761904761904762,0.49761849249630613,0.2599779851734638,0.14812868274748325,900.0,100.0,42,32.0,,10,
31,31,credit-g,2.0,Binary,1000,20,2,2.3333333333333335,0.77,0.7115987460815048,0.77,0.7266666666666667,0.7023809523809523,0.7733333333333333,0.5187056240804064,0.2545530404895544,0.13362055830657482,900.0,100.0,42,32.0,,10,
31,31,credit-g,3.0,Binary,1000,20,2,2.3333333333333335,0.78,0.7066666666666668,0.78,0.75,0.6904761904761905,0.7571428571428571,0.5314030548914295,0.26576793752610683,0.1339587587863207,900.0,100.0,42,32.0,,10,
